TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime	BN	TrueForce
1	2	2	1	0.64	0.64	0	-0.204938032	0.202326436	-0.000747985	0.614846466	0.606752724	-0.002060847	16.89414891	10586.68576	0.00123022	0.054336093	17185.90638	1	2.45
2	2	2	1	0	0.5	0	-0.005060107	0.152297264	0.001730037	0.015795338	0.45653573	0.007158526	4900.3425	10551.38371	0.001707978	22226.64897	39952.68712	1	1.35
3	2	2	1	0	-0.1	0	0.001115031	-0.01819501	0.001405643	-0.002956661	-0.053808169	0.003347164	8650.339218	8950.999419	0.001674693	44979.30123	60337.06174	1	0.15
4	2	2	1	-0.64	-0.64	0	0.208429896	-0.20119532	-0.005672816	-0.625063102	-0.602582513	-0.017293111	6834.273457	10984.37965	0.001148605	65358.96064	83238.37864	1	3.15
5	2	2	1	0.5	0	0	-0.151641557	0.001870077	-0.011635254	0.454698087	0.004218351	-0.034219107	32.99477207	14668.83537	0.002290522	88272.34563	109590.4007	1	1.45
6	2	2	1	0.21	0.21	0	-0.067994486	0.054668842	0.012099049	0.204177674	0.164200741	0.036434479	599.8832321	8449.56006	0.001686165	114644.6919	129639.7973	1	0.75
7	2	2	1	0.5	0	0	-0.150418331	-0.002681635	-0.01071281	0.451546317	-0.007429888	-0.033328634	4332.800183	6116.664333	0.001998246	134664.8189	147324.0922	1	1.4
8	2	2	1	-0.21	-0.21	0	0.061936158	-0.058279751	0.002061164	-0.185420042	-0.174450821	0.00545106	5350.328132	6783.809449	0.002172704	152346.5665	165508.8911	1	0.8
9	2	2	1	0.1	0	0	-0.021224205	-0.004172658	0.000343163	0.06341366	-0.011676374	0.00148726	6733.439526	6883.625217	0.002547391	170547.2582	183759.2371	1	0.3
10	2	2	1	0.35	-0.35	0	-0.102221683	-0.107427033	-0.001142358	0.306438463	-0.322960853	-0.003610181	2982.337123	9917.508329	0.002717861	188781.9788	206028.8211	1	1.1
11	2	2	1	0	-0.9	0	-0.00965272	-0.288633166	-0.016197671	0.029120007	-0.864248664	-0.047860581	16.3854318	15484.74979	0.003138958	211080.381	233880.7899	1	3.15
12	2	2	1	-0.49	0.49	0	0.151857508	0.153144096	0.015704537	-0.455443046	0.45975598	0.045923406	17.67892256	10434.82805	0.00421656	238937.3315	256131.1309	1	2
13	2	2	1	0	0.1	0	0.002764543	0.021086251	0.001765151	-0.007613875	0.06206109	0.005020792	33.25842975	4800.142368	0.003855318	261165.8119	271948.6601	1	0.2
14	2	2	1	0	0.9	0	-0.000158937	0.285069192	0.008496883	0.000379705	0.854722037	0.025673756	16.46347156	11317.72757	0.004240497	276985.0258	295300.3466	1	2.5
15	2	2	1	0.35	0.35	0	-0.114138884	0.105419542	0.014862428	0.342254805	0.315578872	0.044266844	5817.205724	8085.442595	0.003613634	300351.0761	315218.0157	1	1.45
16	2	2	1	0.9	0	0	-0.283306322	-0.000224777	-0.020247886	0.850760569	-0.001062761	-0.060194333	6732.945396	9934.516985	0.004333604	320268.8313	337102.5789	1	2.8
17	2	2	1	0.07	0.07	0	-0.012631483	0.012891033	0.001305623	0.036275986	0.039385223	0.004878187	16.60569355	6617.791169	0.003588768	342137.9608	354719.6754	1	0.1
18	2	2	1	0.35	0.35	0	-0.104687729	0.106282222	0.008643131	0.313868972	0.318134543	0.025608954	33.36965464	6417.945571	0.004009222	359767.7573	372787.3172	1	1.6
19	2	2	1	-0.35	0.35	0	0.109333687	0.104473678	0.002144015	-0.326932874	0.312611801	0.008446235	566.9880154	10151.7804	0.003555807	377835.5976	395388.0808	1	1.35
20	2	2	1	0	0.1	0	-0.000864562	0.018845866	0.000993692	0.003046855	0.056926029	0.002797967	4733.52887	8834.229332	0.003711908	400410.1584	415222.5512	1	0.15
21	2	2	1	-0.07	-0.07	0	0.008983259	-0.016000581	0.001881346	-0.025363682	-0.049134667	0.008207553	6300.505946	6818.384344	0.004409857	420247.459	433425.2609	1	0.2
22	2	2	1	0.64	-0.64	0	-0.200168549	-0.202075902	-0.013490953	0.601023557	-0.605062413	-0.044318132	5866.708458	7934.178934	0.003937734	438476.6081	453443.1057	1	2.65
23	2	2	1	0.49	-0.49	0	-0.155487739	-0.150873478	-0.014776373	0.466948756	-0.452911756	-0.041994488	16.31942621	6434.321156	0.005238741	458495.7807	471960.0331	1	2.3
24	2	2	1	0	0.9	0	-0.000490274	0.286546288	0.022181326	0.001406082	0.858667786	0.067505296	16.56229761	10301.11604	0.004665881	477012.1315	494027.6724	1	2.45
25	2	2	1	0.49	-0.49	0	-0.147802574	-0.158369399	0.005032975	0.443278246	-0.474590287	0.015282033	6000.206769	8017.991811	0.004939428	499063.4744	513812.2582	1	1.95
26	2	2	1	0	0.5	0	0.003187251	0.153709311	0.012134676	-0.0097236	0.460189224	0.036816022	16.52765379	10302.02517	0.004172355	518864.5864	536045.6004	1	1.4
