TN	BN	Hand	Digit	Corr	TargetX	TargetY	TargetZ	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	1	2.0	2.0	1	0.0	0.0	0.75	0.0	-0.00518167331345123	-0.0007201084394042878	0.0998164034485387	0.013473386431727586	-0.0026134951482246205	0.30063941405355843	44.321541776298545	13736.193871474825	(0.0013240410436692676, 0.014101122737896076)	0.16774925461504608	14789.339388837107
2.0	1	2.0	2.0	1	0.0	0.0	0.75	0.0	-0.003170397710279476	-0.0030486029235847756	0.10034738689250022	0.008378268555808536	-0.008919223855748282	0.3025070267795835	32.59696271561552	13351.97003268695	(0.0017282789199115287, 0.013143206580436089)	16870.06616614235	31697.666972511797
3.0	1	2.0	2.0	1	0.0	0.0	0.85	0.0	-0.0009019158593024209	0.0027866276028065684	0.13946150911726496	0.002867593945768747	0.008003820799124872	0.4186134126802453	8.847679288010113	14120.712000774802	(0.002286054119912973, 0.008724165795563147)	33785.6292128854	49391.10958110541
4.0	1	2.0	2.0	1	0.0	0.0	0.65	0.0	-0.0011658549160108223	-0.003783104899972134	0.060162111848630295	0.0029796563708758164	-0.011284576152772008	0.18034900434882062	8.9089442481054	11310.75622823846	(0.001363191011036338, 0.01158128576067376)	51457.165956526296	64242.286086882814
5.0	1	2.0	2.0	1	0.0	0.0	0.85	0.0	-0.0006146277665905269	0.000541947957663047	0.14051752498664782	0.0016496676583378992	0.0023379678915794733	0.4222392309452948	8.685035441885702	11761.59730841755	(0.0023573057229409203, 0.003244894972899612)	66307.63682139514	79543.5240034567
6.0	1	2.0	2.0	1	0.0	0.0	0.75	0.0	-0.00012075896994029713	0.001950788220623334	0.09982784771496167	0.0003299076362486944	0.006078949576876047	0.2987511100938436	32.81540142779704	15244.09777886467	(0.0012550304880829307, 0.006069982848877543)	81616.13645746547	98345.93580017099
7.0	1	2.0	2.0	1	0.0	0.0	0.95	0.0	-0.0017826406341728154	-0.0018923940510983117	0.1791312123292893	0.005639245364669052	-0.005968505615445374	0.5378971847104589	8.721138015971519	14134.69937145419	(0.0016604891788324764, 0.00755998075992112)	100416.28035715257	116037.9437879601
8.0	1	2.0	2.0	1	0.0	0.0	0.75	0.0	-0.0038399237648486647	-0.000598982617697974	0.1006757000076296	0.01103423219096154	-0.001635101485232604	0.3015235523002978	91.26179532904644	12259.412192026502	(0.0015191294569506851, 0.011387728527472137)	118127.82128724211	131855.0175990822
9.0	1	2.0	2.0	1	0.0	0.0	0.95	0.0	0.006558705370247695	-0.004740156421924602	0.1801987029831389	-0.018737407177146708	-0.014123361445057214	0.5409623254749374	25.07960796356201	14159.870876843343	(0.0014600031435270985, 0.02386947426112371)	133917.36489256436	149564.11631879746
10.0	1	2.0	2.0	1	0.0	0.0	0.85	0.0	-0.0008686834051015119	0.005615184204646795	0.13953704127565414	0.002444203847443218	0.01694266043465731	0.4200302128633552	66.75289951090235	13017.527609335957	(0.005127319537890249, 0.017536763310017987)	151640.78794013767	166123.84125377866
