TN	BN	Hand	Digit	Corr	TargetX	TargetY	TargetZ	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	1	2.0	4.0	1	0.0	0.0	0.75	0.0	0.0011530366836761455	-0.0013977052328505435	0.10097007705806038	-0.003912279881040526	-0.004775762622852842	0.3034595559624622	64.88322463701479	34727.31920641672	(0.010371235082836857, 0.011916712712867095)	0.03427919000387192	36241.81347156991
2.0	1	2.0	4.0	1	0.0	0.0	0.75	0.0	-0.0016090981687939877	-0.003002099067219266	0.1008102540627156	0.0052480950628215235	-0.009038666475229995	0.3003250171664027	75.53092639136594	15768.12384853838	(0.0010963650735254704, 0.01123297367984993)	38291.3906705071	55517.4415466754
3.0	1	2.0	4.0	1	0.0	0.0	0.55	0.0	-0.00022723230047739872	-0.001167797072425314	0.01924724193179239	0.0011996052785888467	-0.004539207971589243	0.05916081483176994	33.98271746118553	10268.693831356359	(0.0012625749077444168, 0.0048132335832722405)	57584.11312426324	69342.11549317115
4.0	1	2.0	4.0	1	0.0	0.0	0.65	0.0	-0.0006178862734635001	-0.0012866354654664791	0.059850980392157194	0.002144982282541106	-0.002662243274225151	0.17914094758526078	33.580848583369516	15660.929520512582	(0.0013008088247961629, 0.005044782239769292)	71415.11158242065	88536.21414722875
5.0	1	2.0	4.0	1	0.0	0.0	0.65	0.0	-0.00031976526386276113	-0.0005147146088307908	0.0607326466773479	-0.0002707366041585327	-0.0024504834865158864	0.18206060883497344	32.72095130523667	10700.058858114062	(0.0014827848948819249, 0.0015099599528707853)	90596.7760051426	102749.8873162549
6.0	1	2.0	4.0	1	0.0	0.0	0.85	0.0	0.0026252991433221985	-0.00035534988527641254	0.13999404898145995	-0.008458544354267806	-0.00022444854294945138	0.4192954909590285	24.671174978720956	12793.052117500338	(0.00254743755512464, 0.007329698401482258)	104818.91613556945	119094.71378329908
7.0	1	2.0	4.0	1	0.0	0.0	0.95	0.0	0.006531774134635554	-0.0006784599740745634	0.18022818341344382	-0.018656613470310286	-0.002197226290085008	0.5385330281528973	132.79760541627184	10734.05506843119	(0.0010423697800563403, 0.018936740894706972)	121156.55162956682	133355.40597507497
8.0	1	2.0	4.0	1	0.0	0.0	0.85	0.0	0.0004533424661377122	-0.0066396717132088945	0.14045426108186465	-0.0031079681713166033	-0.020695877705361077	0.420355687800412	8.914414327591658	13234.809575413237	(0.0013589383915104901, 0.019545425057665253)	135398.10983053758	150089.43150505365
9.0	1	2.0	4.0	1	0.0	0.0	0.75	0.0	0.0005733677325437383	-0.0018406032133837513	0.0991440604257261	6.020684884444893e-05	-0.006654734215181146	0.29853083085374044	6.071429088478908	14870.187237334903	(0.0014857841217360429, 0.006699880500274893)	152127.6229054929	168480.82224850077
10.0	1	2.0	4.0	1	0.0	0.0	0.75	0.0	0.004654701539694452	-0.00046866392229605314	0.10123921568627425	-0.01373751970407731	-0.0013736224933159624	0.3019781185625994	72.26346259994898	15120.08439975034	(0.002539478713300615, 0.013698655845060656)	170530.80204565777	187148.5664002539
11.0	1	2.0	4.0	1	0.0	0.0	0.85	0.0	0.0009104613475254925	-0.0007928529868796996	0.139642786297399	-0.002893230410437796	-0.003252529347090416	0.4196150148775484	5.929571561864577	14405.518877625582	(0.0013034705120969874, 0.004934402819594157)	189213.90108919877	205097.56807336817
12.0	1	2.0	4.0	1	0.0	0.0	0.55	0.0	0.00033394300568739756	0.0012425700943771156	0.019226672770275455	0.0006813732086965471	0.005087219773167617	0.05699336232547503	33.852164779091254	11301.389255590038	(0.0019863159969268633, 0.006371409741234938)	207136.42208337842	219926.69977404876
13.0	1	2.0	4.0	1	0.0	0.0	0.55	0.0	-0.0019166062677306661	-0.00036171584241262433	0.019260639353016806	0.005102433331746227	-0.001473578810104903	0.05929256122682336	31.94456397613976	18503.86990242987	(0.0018712206003559135, 0.005910088114554952)	222014.42534208763	241999.11785770382
14.0	1	2.0	4.0	1	0.0	0.0	0.65	0.0	0.0028466618155252163	0.002204714382040285	0.05993389791714243	-0.009867125663039222	0.006322819683970415	0.18053412680246872	34.85209619975649	8370.274758693995	(0.0013690909511347357, 0.011454053973513343)	244039.5217249752	253902.29408048617
15.0	1	2.0	4.0	1	0.0	0.0	0.95	0.0	-0.004059344280637295	0.005299648525863732	0.1789283588921946	0.01107747754045419	0.016352115407603285	0.5370139620050343	32.17649555881508	12784.215013714856	(0.0012638188140705396, 0.020248705312344833)	255978.26443699887	270253.3899936825
16.0	1	2.0	4.0	1	0.0	0.0	0.55	0.0	-0.0027570420867615067	-0.0045154705043024546	0.019125932707713345	0.007850325703844793	-0.013384565145046046	0.05746935225452021	65.15782287169714	9133.679018355906	(0.0017523261349320003, 0.015483427611898224)	272318.909936148	282913.7692236982
17.0	1	2.0	4.0	1	0.0	0.0	0.65	0.0	-0.0017867839011900706	-0.0021511756035517138	0.05917076371404639	0.004648227684980046	-0.006712480999233383	0.17938915083543283	61.30870677588973	15397.617522947257	(0.002383173864746106, 0.00871538562973101)	284977.2036052891	301831.3011361606
18.0	1	2.0	4.0	1	0.0	0.0	0.55	0.0	-0.002845151249425166	-0.00020416379817767005	0.020326359960326057	0.008438345927558741	-0.0006448606681055402	0.059788876173035854	8.794801819021814	44218.413179551135	(0.0016734120099839963, 0.008901726698962817)	303905.89485476085	349579.85448115505
