TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime	BN	TrueForce
1	2	1	1	0	-0.3	0	0.001323099	-0.089683264	-0.004486679	-0.004292991	-0.269373485	-0.011995171	200.7824397	9084.138893	0.00237522	0.060170831	14002.20845	1	0.9
2	2	1	1	-0.35	0.35	0	0.105673265	0.105485124	0.019987541	-0.317019794	0.317879619	0.060099954	16.58782463	15852.17775	0.00088401	14254.07265	35352.97018	1	2.2
3	2	1	1	0.21	-0.21	0	-0.052772824	-0.060438915	-0.01085198	0.158771643	-0.181834653	-0.033151041	16.63559662	14284.836	0.001253568	35604.59224	54803.91417	1	1.35
4	2	1	1	-0.21	0.21	0	0.061405208	0.055972813	0.004932067	-0.184183254	0.16788607	0.014979309	16.44195593	13534.67846	0.001126227	55056.03875	73971.65297	1	1.15
5	2	1	1	0.35	0.35	0	-0.100938622	0.115288752	-0.02283331	0.302265588	0.345833885	-0.067401282	483.1510704	15484.76985	0.189356051	74217.99458	95056.31881	1	1.8
6	2	1	1	0	0.1	0	0.001328225	0.017615019	-0.000245968	-0.002430949	0.052780318	-0.002111215	5416.925219	5618.990209	0.05468705	95308.38395	105412.7045	1	0.15
7	2	1	1	-0.35	0.35	0	0.100378439	0.10857435	0.026979522	-0.304987261	0.32614385	0.082357656	11867.38164	16251.53636	0.054071379	105660.3648	127191.2357	1	2.15
8	2	1	1	0.1	0	0	-0.017942698	0.008068861	0.005025177	0.054475481	0.022717598	0.011642252	16.91529987	10332.85671	0.054106338	127444.0127	142642.0353	1	0.2
9	2	1	1	0.35	0.35	0	-0.100827034	0.110134409	-0.014627222	0.303549288	0.330500334	-0.044705653	4200.172709	26702.25024	0.054183178	142894.7083	174944.0572	1	2.3
10	2	1	1	0	0.1	0	-0.003656816	0.024864959	0.00119807	0.011617834	0.073041153	0.003914649	6533.663215	6550.95048	0.054011456	175196.3043	186567.244	1	0.3
11	2	1	1	0.3	0	0	-0.083904696	-0.000605413	-0.007813802	0.251843566	-0.001880978	-0.023624514	7617.05599	11351.31202	0.054120521	186813.9831	203929.8692	1	1.25
12	2	1	1	0.21	-0.21	0	-0.055507499	-0.071850077	-0.015244823	0.166328282	-0.214514413	-0.045505585	10483.81477	16651.63526	0.053507388	204181.3852	225896.4318	1	1.35
13	2	1	1	-0.07	-0.07	0	0.01618065	-0.011269077	-0.001760288	-0.048380104	-0.034228031	-0.005509751	11267.82078	17934.79341	0.05345287	226149.4731	248597.8947	1	0.25
14	2	1	1	0	0.5	0	0.005231964	0.151265716	0.014428603	-0.014530599	0.452049206	0.043194255	5716.726254	20818.62247	0.05376864	248851.3437	275098.9041	1	2.1
15	2	1	1	0	0.9	0	0.008303059	0.287568265	0.007699229	-0.024747329	0.862348733	0.022685695	16.54005263	9184.747822	0.053486128	275352.5669	291016.7516	1	3.75
16	2	1	1	-0.64	0.64	0	0.200776683	0.204822335	0.021153979	-0.601326601	0.614823067	0.063233051	16.5404173	17734.94051	0.053784994	291270.1164	315484.6856	1	3.6
17	2	1	1	0.1	0	0	-0.017313024	-0.000678767	0.008156817	0.052003811	-0.002618949	0.023417578	16.68190994	8484.568914	0.053839927	315738.1336	329069.0123	1	0.2
18	2	1	1	0	0.1	0	0.001474593	0.015161886	0.011244045	-0.004941688	0.046650953	0.033640581	16.25962004	9450.880536	0.05461282	329322.5686	343253.2587	1	0.2
19	2	1	1	0	0.7	0	-0.000172323	0.213388102	0.00554934	0.000743555	0.641038278	0.017014237	16.63012656	18286.0726	0.054392901	343506.9594	368270.9034	1	2.65
20	2	1	1	0.49	0.49	0	-0.150636743	0.158306232	-0.01821326	0.452395767	0.475015804	-0.056241978	6383.474972	11968.59811	0.053951791	368524.8331	386972.1464	1	2.85
21	2	1	1	0.64	0.64	0	-0.197393916	0.218644754	-0.022248569	0.592764394	0.655416353	-0.066654154	49.37838051	12151.24324	0.054790821	387225.8139	405006.6698	1	4.1
22	2	1	1	0	-0.1	0	0.009053206	-0.025124572	0.004203075	-0.026803555	-0.07514713	0.013799428	16.61371632	8301.07374	0.054897238	405259.9606	418323.9263	1	0.4
23	2	1	1	0.35	-0.35	0	-0.121601013	-0.103437179	-0.029851835	0.363702485	-0.310052583	-0.091752804	16.25962004	23751.95537	0.053920748	418577.9398	447392.3759	1	2.85
24	2	1	1	0.7	0	0	-0.224551677	0.009200162	-0.016797887	0.673655031	0.027471009	-0.050164775	16.5805312	15268.54319	0.049643402	447646.2064	468560.1511	1	3.2
25	2	1	1	0.5	0	0	-0.152176339	0.005106016	-0.020711902	0.456270062	0.015123831	-0.061540604	16.60095282	36952.76698	0.051377813	468814.3653	511295.7142	1	2.25
26	2	1	1	0	-0.3	0	0.006296126	-0.085603684	-0.012557855	-0.019600501	-0.258429515	-0.038405997	16.55281615	5217.66346	0.050617088	511549.8353	521613.0176	1	1.15
27	2	1	1	0	-0.1	0	0.002906712	-0.024533563	-0.006210575	-0.008817244	-0.070914038	-0.016434424	27.07906668	7712.162387	0.051839003	521867.2219	534313.6509	1	0.6
28	2	1	1	0.21	0.21	0	-0.054162351	0.070279692	-0.012510025	0.161548344	0.211777785	-0.037667407	16.83580143	8134.590867	0.051754598	534567.9486	548097.8079	1	1.15
29	2	1	1	0.9	0	0	-0.291511657	0.009610653	-0.040317853	0.873207831	0.02970593	-0.121960655	16.63559664	14001.65379	0.051508934	548352.0735	568648.9392	1	4.55
30	2	1	1	0.64	0.64	0	-0.199306735	0.215337369	-0.049795758	0.597531773	0.646012108	-0.148334401	16.60751691	17601.90023	0.05224915	568903.9761	592983.4144	1	3.75
31	2	1	1	0.35	-0.35	0	-0.119327822	-0.100193265	-0.028695193	0.358727959	-0.301906936	-0.084941154	16.60970494	14118.16095	0.049711545	593238.0486	612701.3302	1	2.6
32	2	1	1	0.07	0.07	0	-0.006638096	0.019767948	-0.005166812	0.019137427	0.060145444	-0.014264454	16.7949582	9134.667084	0.050472533	612956.2879	626568.8311	1	0.3
33	2	1	1	0	-0.5	0	0.008023485	-0.152619264	-0.014241634	-0.024038086	-0.458537546	-0.043182673	16.59438871	8307.195484	0.051295341	626823.1491	640136.1601	1	1.85
34	2	1	1	-0.07	-0.07	0	0.016396424	-0.008189065	-0.003547082	-0.049998502	-0.024923256	-0.010641245	16.5830839	4767.644279	0.050528087	640390.8348	649803.3157	1	0.5
35	2	1	1	0.35	-0.35	0	-0.108950896	-0.117201112	-0.038341657	0.325266595	-0.350858843	-0.114246761	16.64325473	22085.34997	0.049137946	650058.4219	677271.6035	1	2.55
36	2	1	1	0	0.7	0	-0.002794612	0.226273922	0.010317411	0.006376941	0.67726804	0.031043786	16.54916942	15985.38359	0.051484113	677526.5094	698872.8036	1	2.8
37	2	1	1	0	-0.3	0	0.004324659	-0.082633193	-0.001558213	-0.013330039	-0.251168877	-0.006734607	16.59657675	7201.098975	0.05088105	699127.9021	711156.7932	1	0.85
38	2	1	1	-0.1	0	0	0.016968086	-0.003597095	0.004710391	-0.051422168	-0.010726546	0.013536072	17.27814828	7784.404228	0.050808646	711411.7425	723707.7437	1	0.25
39	2	1	1	0.64	-0.64	0	-0.212773361	-0.207596781	-0.043070466	0.636863467	-0.62113951	-0.128112749	16.67534585	17335.06552	0.051319555	723959.2651	747775.9085	1	4.55
40	2	1	1	-0.9	0	0	0.28631319	-0.000506034	0.02087673	-0.856447135	-0.001485733	0.061439986	16.59657675	14768.04615	0.050418462	748024.3087	769259.6722	1	4
41	2	1	1	0	-0.9	0	0.01297456	-0.29226209	0.033997498	-0.039668173	-0.877789718	0.103182696	16.48170514	8385.248006	0.05120814	769515.5584	784111.6632	1	3
42	2	1	1	-0.35	0.35	0	0.100937883	0.116936968	0.065641535	-0.305370821	0.347541607	0.19559707	16.36646887	13117.06365	0.052738718	784366.3533	803960.8091	1	2.45
43	2	1	1	0.64	0.64	0	-0.202980243	0.198588908	0.018145304	0.608811251	0.596608326	0.05384081	16.65893562	12201.44432	0.051526667	804201.08	822112.8779	1	3.85
44	2	1	1	0.07	0.07	0	-0.026629683	0.007043813	0.03722462	0.079079819	0.021163808	0.112085855	16.7070723	8901.238498	0.052341874	822368.6215	837746.7975	1	0.3
45	2	1	1	0.49	-0.49	0	-0.152295835	-0.168681863	0.012357763	0.456434336	-0.505333465	0.036111971	16.69795551	9834.551337	0.057737712	838003.0771	854314.5221	1	3.15
46	2	1	1	-0.49	-0.49	0	0.107574965	-0.142811163	0.052508354	-0.342923321	-0.44092803	0.155602426	26.98716939	20145.8264	0.05726394	854570.6023	881199.2472	1	2.6
47	2	1	1	0	0.9	0	-0.004663544	0.283345909	0.070337163	0.013925893	0.851332498	0.210187503	22.16110325	11317.50512	0.057633478	881461.1388	899239.4657	1	4.15
48	2	1	1	0.07	-0.07	0	-0.022347671	-0.019008403	0.034608598	0.067301967	-0.056313084	0.10359691	16.33838915	17.1023765	0.057138121	899490.1163	905967.0005	1	0.2
49	2	1	1	-0.5	0	0	0.152482369	-0.005635901	0.071721645	-0.456896828	-0.017393241	0.213379629	16.53057117	11107.26091	0.05702352	906223.6827	923007.7602	1	2.65
50	2	1	1	0.21	0.21	0	-0.05782146	0.059530137	-0.010448287	0.173658596	0.179302534	-0.032947059	50.16023677	11218.10216	0.002340439	0.077310411	16555.30393	1	1.2
51	2	1	1	-0.5	0	0	0.153287193	-0.006871668	-0.00517911	-0.460347118	-0.021424235	-0.014804898	16.62647985	15518.23176	0.00153391	16809.00535	38806.30022	1	1.85
52	2	1	1	-0.49	0.49	0	0.153979388	0.15106446	-0.007210689	-0.462488442	0.454196826	-0.022318723	16.48279917	16084.45835	0.00286763	39058.18265	60607.8101	1	2.4
53	2	1	1	-0.49	0.49	0	0.151964023	0.152878639	-0.000450179	-0.456636563	0.458150377	0.000617876	16.59694142	8616.915956	0.003258605	60861.42218	74542.01128	1	2.5
54	2	1	1	-0.64	-0.64	0	0.213446745	-0.198813082	-0.06127084	-0.640663927	-0.597086631	-0.182668093	16.31869687	47202.99308	0.013430437	74810.36594	128494.5463	1	3.5
55	2	1	1	-0.1	0	0	0.02787521	0.008356959	-0.052165179	-0.085244094	0.026171432	-0.157365301	16.90217169	6251.335428	0.013148873	128747.921	140462.162	1	0.2
56	2	1	1	0	-0.7	0	-0.005784632	-0.217824565	-0.053575326	0.018616298	-0.654736096	-0.160725978	16.69212076	29835.63004	0.012135966	140714.2727	177030.717	1	2.75
57	2	1	1	0.21	-0.21	0	-0.051589835	-0.066964312	-0.077678111	0.156549816	-0.201961123	-0.23308011	16.68738002	46769.94572	0.012517195	177283.0502	230533.5618	1	2
58	2	1	1	-0.35	0.35	0	0.105873835	0.105386538	-0.042781453	-0.318366	0.315803551	-0.127657702	16.74171613	10534.75614	0.012031843	230786.4551	247001.6764	1	1.5
59	2	1	1	0.5	0	0	-0.15380632	0.005310854	-0.059360891	0.461548438	0.016968378	-0.177624903	16.61699837	27486.32007	0.0120191	247269.9479	280353.2794	1	2.85
60	2	1	1	-0.9	0	0	0.293828677	0.008436075	-0.03150901	-0.880514952	0.025437701	-0.094984802	17.35655271	20385.5474	0.011972517	280606.6541	307471.1391	1	3.45
61	2	1	1	-0.64	-0.64	0	0.218707307	-0.210592147	-0.029736103	-0.654244504	-0.631582226	-0.088750538	16.53567656	20635.16741	0.01128064	307724.1437	334839.5503	1	3.9
62	2	1	1	0.3	0	0	-0.086440742	0.007084285	-0.050369703	0.260163828	0.021641287	-0.150605562	16.52583042	16034.67846	0.012284238	335092.2455	356224.1218	1	1.85
63	2	1	1	-0.7	0	0	0.217102638	-0.002904182	-0.019764042	-0.651469762	-0.007838576	-0.058239254	16.60678757	9467.881899	0.011329019	356476.8397	372424.8087	1	2.6
64	2	1	1	0	-0.3	0	-0.010008229	-0.104040256	-0.033553696	0.031999212	-0.310858367	-0.100203319	16.61626903	9384.597796	0.011486625	372678.0251	388542.2895	1	1.15
65	2	1	1	-0.1	0	0	0.030905961	0.009614651	-0.052968185	-0.092620776	0.028358413	-0.160003204	16.57396711	17.02141936	0.011122586	388795.2058	395291.2203	1	0.2
66	2	1	1	0	-0.7	0	0.00219127	-0.223556823	-0.061529816	-0.005020086	-0.669116745	-0.18596276	16.47222368	18134.51465	0.011475467	395528.8404	420141.8391	1	2.8
67	2	1	1	0.35	0.35	0	-0.101507005	0.11431216	-0.076042985	0.304423906	0.342709894	-0.228220508	16.86388114	7583.539738	0.011180662	420381.5863	433209.2031	1	2.5
68	2	1	1	0.3	0	0	-0.083524104	0.003795626	-0.064448867	0.251608128	0.011322141	-0.193026162	16.75119757	11734.248	0.011498504	433431.3068	450293.7085	1	1.45
69	2	1	1	0.7	0	0	-0.221376062	0.002181657	-0.069146662	0.662833416	0.008098695	-0.209545731	16.51124356	7450.54358	0.01148659	450531.9383	463360.8314	1	3.55
70	2	1	1	0.1	0	0	-0.021135247	0.010697322	-0.056486191	0.062337556	0.031412211	-0.167261273	16.46310688	10417.92916	0.010816095	463613.3724	478997.7398	1	0.45
71	2	1	1	0	0.5	0	0.003249951	0.150421471	-0.041867422	-0.010494345	0.449484103	-0.125236049	16.19543781	11017.89845	0.011958531	479250.9164	495315.6023	1	2
72	2	1	1	-0.21	-0.21	0	0.059438316	-0.058806619	-0.047599031	-0.178800487	-0.176970134	-0.142018883	16.69430878	9017.81458	0.011740744	495568.4846	509449.2607	1	1.1
73	2	1	1	0.21	-0.21	0	-0.055994258	-0.066624651	-0.066695674	0.168338835	-0.200035799	-0.199675029	16.70524894	8734.738122	0.011408153	509702.8629	523350.0131	1	1.45
74	2	1	1	0	-0.1	0	0.007105288	-0.020479462	-0.054132898	-0.022286941	-0.060855739	-0.161986702	16.6191864	4617.352833	0.012385792	523604.004	533017.1749	1	0.25
75	2	1	1	0.49	0.49	0	-0.149275458	0.156303195	-0.080047555	0.447017143	0.468747737	-0.239364454	16.51890167	9867.733915	0.012660301	533272.5965	548934.8766	1	3.3
76	2	1	1	-0.35	-0.35	0	0.107467963	-0.110474734	-0.034060418	-0.322630473	-0.332168695	-0.103417235	16.48462252	24885.40518	0.01204011	549189.0841	579069.8879	1	2
77	2	1	1	-0.21	0.21	0	0.058867182	0.059376858	-0.04987985	-0.176892869	0.178421896	-0.150051545	16.54953411	14984.83731	0.012567236	579323.8471	599670.8925	1	1.1
78	2	1	1	0.49	-0.49	0	-0.150447846	-0.166806155	-0.08089089	0.452444095	-0.50067742	-0.242306455	16.50650283	9784.602975	0.011684405	599937.0117	616188.0966	1	3.6
79	2	1	1	-0.07	0.07	0	0.009153955	0.013839882	-0.050092798	-0.027494234	0.0413578	-0.148950858	22.40798602	9568.245768	0.012206444	616428.3843	630472.7962	1	0.3
80	2	1	1	-0.49	0.49	0	0.157493003	0.161205877	-0.013902777	-0.472155315	0.484265017	-0.042394987	16.6191864	20118.46946	0.012064456	630729.9908	655941.2339	1	3.2
81	2	1	1	-0.7	0	0	0.215692039	0.003434736	-0.011603418	-0.648921167	0.0102071	-0.035084916	16.47003564	9901.060538	0.01205136	656195.1475	672574.59	1	3
82	2	1	1	-0.49	-0.49	0	0.162734818	-0.1502235	-0.026389479	-0.488301562	-0.450314439	-0.079076883	16.69175609	18268.78497	0.01176143	672829.8044	697575.9272	1	3.25
83	2	1	1	0.9	0	0	-0.285887404	-0.000292009	-0.058755879	0.857824059	0.000839546	-0.176542298	22.30879531	14701.56575	0.012150512	697831.5071	718494.1102	1	3.4
84	2	1	1	-0.35	-0.35	0	0.107592741	-0.112939908	-0.035676776	-0.320803697	-0.337298367	-0.109227626	16.38214976	22151.57181	0.011817074	718748.8495	747378.8604	1	2.05
85	2	1	1	0	-0.3	0	0.010962178	-0.085772349	-0.047593629	-0.031688871	-0.258385234	-0.143147105	16.77271322	5084.150563	0.013150259	747634.076	758462.9658	1	0.6
86	2	1	1	-0.49	-0.49	0	0.153031578	-0.16377863	-0.033991539	-0.456958362	-0.490623766	-0.101150629	16.65200686	13184.71646	0.012612261	758718.7199	778380.1386	1	3
87	2	1	1	0	0.9	0	0.013621341	0.30005605	-0.018443725	-0.042450117	0.898646795	-0.05601783	16.61189298	12068.01493	0.011893571	778622.2956	795880.7629	1	4.4
88	2	1	1	0.07	-0.07	0	-0.026153456	-0.03797356	-0.007584451	0.078492737	-0.115183082	-0.022982238	16.62392713	4601.409748	0.012498794	796121.354	807198.6783	1	0.1
89	2	1	1	0	0.9	0	0.004790777	0.303893417	-0.023742451	-0.014566545	0.910191264	-0.070540696	16.3803264	8684.031242	0.011990983	807470.3639	822632.8649	1	4.3
90	2	1	1	0.07	-0.07	0	-0.012144951	-0.027153688	-0.027491684	0.036823286	-0.081978973	-0.082703937	16.79568754	17.55238144	0.012492942	822888.4378	829383.2897	1	0.2
91	2	1	1	0.21	0.21	0	-0.060388613	0.057199301	-0.032793904	0.181457163	0.171824488	-0.099800801	16.48206981	9201.120855	0.01176006	829638.8338	845317.4956	1	1.3
92	2	1	1	0.64	-0.64	0	-0.198958182	-0.22082859	-0.055856161	0.598201687	-0.663618695	-0.167751591	16.52947714	13017.55639	0.012352062	845573.2564	865068.9802	1	3.9
93	2	1	1	-0.64	0.64	0	0.200833167	0.203908432	-0.002196063	-0.602305286	0.611595818	-0.007320623	16.67242848	15834.92513	0.012363723	865324.4156	887636.5076	1	3.95
94	2	1	1	-0.07	-0.07	0	0.012249574	-0.019428313	0.000710529	-0.0364574	-0.05915891	0.002452026	16.81209778	4684.615811	0.012343269	887875.38	897203.9839	1	0.2
95	2	1	1	0	-0.7	0	-0.009619112	-0.227281944	-0.01021194	0.030411062	-0.68106897	-0.029811833	18.13585628	6769.292595	0.012951916	897459.6049	910704.4375	1	2.2
96	2	1	1	0	0.7	0	0.005605921	0.22829678	-0.01826025	-0.018468597	0.686023265	-0.05464342	16.5714144	8567.9719	0.012765704	910960.7518	924688.8238	1	3.1
97	2	1	1	-0.64	-0.64	0	0.210636153	-0.191510013	-0.007369078	-0.633785877	-0.576277978	-0.023068551	16.67060512	20768.56763	0.012437794	924945.0498	952190.1238	1	3.75
98	2	1	1	0	0.3	0	0.000707301	0.091211358	-0.023767453	-0.001862949	0.271950873	-0.072080568	16.45326075	12734.61049	0.012874161	952448.4668	970158.0119	1	1.75
99	2	1	1	0.07	-0.07	0	-0.015662957	-0.02667001	-0.040268902	0.052167956	-0.074766208	-0.123461776	16.55792154	1684.07245	0.012527082	970414.4845	978574.8584	1	0.15
100	2	1	1	-0.07	-0.07	0	0.011178324	-0.036891515	-0.039047501	-0.036092145	-0.110771652	-0.11860737	16.54552271	5517.739458	0.013280747	978831.9035	989598.4118	1	0.1
101	2	1	1	0	0.5	0	0.006199779	0.153640903	-0.006011559	-0.018987767	0.461440616	-0.018034676	16.64179604	6934.421806	0.013271534	989848.6076	1001876.37	1	2.6
102	2	1	1	0	-0.5	0	-0.003224972	-0.150781773	-0.03503019	0.0086391	-0.453834306	-0.105502564	16.62246844	4984.539011	0.01325324	1002134.386	1013593.832	1	1.15
103	2	1	1	-0.3	0	0	0.085737844	-0.005897595	-0.016209888	-0.256080606	-0.017854632	-0.049819867	16.5765198	8084.6312	0.012438159	1013852.699	1028410.941	1	1.35
104	2	1	1	0.07	0.07	0	-0.016170038	0.015802075	-0.030203792	0.047150605	0.045075638	-0.092030465	16.53312387	3184.088496	0.012539285	1028667.895	1036661.663	1	0.2
105	2	1	1	-0.49	0.49	0	0.16101977	0.151535584	-0.031639986	-0.481829277	0.453635672	-0.094370634	16.68373331	20068.5324	0.013087149	1036918.901	1061912.133	1	3.2
106	2	1	1	0.49	-0.49	0	-0.15000354	-0.166602396	-0.068322515	0.448974805	-0.498059247	-0.205104875	16.59183603	24352.00708	0.011774927	1062153.941	1092981.164	1	3.55
107	2	1	1	0.64	-0.64	0	-0.210651766	-0.195042396	-0.07030415	0.632440837	-0.587425406	-0.210271572	16.67498118	33285.85015	0.010971351	1093238.627	1133000.043	1	3.95
108	2	1	1	0.5	0	0	-0.151599707	0.006013364	-0.054294789	0.455996784	0.018072461	-0.16206038	16.78802943	20301.68347	0.013110282	1133257.943	1160034.867	1	2.1
109	2	1	1	0.21	-0.21	0	-0.054840169	-0.074371594	-0.053488876	0.164326291	-0.222985306	-0.161565278	16.55901557	13868.0964	0.012205099	1160292.807	1179002.882	1	1.5
110	2	1	1	-0.64	0.64	0	0.197607062	0.2134227	-0.001358106	-0.592885924	0.640786008	-0.004486313	5283.64097	10684.70917	0.013202981	1179260.34	1195320.432	1	3.95
111	2	1	1	0.7	0	0	-0.218110591	-0.000423147	-0.022650408	0.654299403	-0.001949197	-0.06708146	16.64216071	11234.4916	0.013744582	1195577.896	1212237.987	1	2.9
112	2	1	1	-0.35	-0.35	0	0.116301074	-0.102846343	-0.027461349	-0.349906668	-0.308377182	-0.083253811	16.77271321	11051.26009	0.012593158	1212499.036	1228605.542	1	2.2
113	2	1	1	-0.35	0.35	0	0.103911718	0.107234079	-0.010028023	-0.312285431	0.321864082	-0.029855184	66.47200488	10717.81553	0.012695631	1228857.457	1244740.58	1	2.05
114	2	1	1	-0.5	0	0	0.153045233	0.010551644	-0.012192699	-0.458326466	0.030651485	-0.038271847	349.9357448	9818.618828	0.013057068	1244997.479	1260124.094	1	2.2
115	2	1	1	0.9	0	0	-0.289107839	0.011825521	-0.044241711	0.866967456	0.03466733	-0.132862463	7433.458343	19584.82484	0.012481663	1260381.935	1285525.908	1	3.9
116	2	1	1	-0.21	-0.21	0	0.066072943	-0.058936209	-0.035340208	-0.197765661	-0.176484935	-0.107531266	16.61590436	32669.36341	0.01336657	1285783.349	1323410.795	1	1.25
117	2	1	1	-0.64	0.64	0	0.200406141	0.218874775	-0.01663183	-0.600117867	0.656365372	-0.049575051	6633.579997	9301.157979	0.013498741	1323668.868	1337945.1	1	4.2
118	2	1	1	0	-0.9	0	-0.000993197	-0.285452399	-0.038495033	0.003206177	-0.855094795	-0.115439322	16.61298698	6900.993804	0.013123974	1338203.005	1350229.086	1	2.9
119	2	1	1	-0.07	0.07	0	0.010955337	0.023428157	-0.034009422	-0.032412843	0.069896041	-0.101433165	16.67716922	3617.569083	0.012676554	1350487.6	1358612.739	1	0.3
120	2	1	1	-0.49	-0.49	0	0.14996357	-0.169231714	-0.041939055	-0.450149663	-0.50873096	-0.125038956	16.64179604	6684.236917	0.01330882	1358871.385	1370413.444	1	2.9
121	2	1	1	0	-0.5	0	-0.01023053	-0.156303049	-0.041234424	0.031986361	-0.47052761	-0.12530547	1800.437387	6234.338442	0.013890292	1370675.746	1381697.357	1	1.9
122	2	1	1	0	-0.9	0	0.005450085	-0.288212392	-0.052963806	-0.015573392	-0.865155084	-0.158891417	6050.300271	9250.949605	0.013152197	1381959.651	1396198.655	1	2.95
123	2	1	1	0.21	0.21	0	-0.053918966	0.066689767	-0.050237369	0.161174252	0.200069301	-0.151398764	15.613057	8683.515961	0.012741351	1396457.033	1410349.515	1	1.1
124	2	1	1	-0.64	-0.64	0	0.196126869	-0.205573151	-0.041850675	-0.587765591	-0.61597496	-0.12532314	181.5562149	13832.89208	0.013280919	1410612.257	1429416.799	1	3.75
125	2	1	1	-0.49	0.49	0	0.163045245	0.149487536	-0.018742824	-0.488294133	0.446908884	-0.055450263	16.52145438	15468.29143	0.01429925	1429675.773	1450751.079	1	3.2
126	2	1	1	0	-0.9	0	0.005170598	-0.289030256	-0.045134821	-0.016579979	-0.866993659	-0.135999565	16.92368733	18333.6754	0.014638587	1450993.597	1474535.593	1	3.4
127	2	1	1	0	0.1	0	-0.002294949	0.019235516	-0.037808949	0.007240909	0.057156271	-0.111778874	16.70524894	7568.514896	0.014281353	1474776.63	1486820.927	1	0.25
128	2	1	1	0	0.9	0	-0.003276569	0.28497329	-0.01808764	0.010023922	0.854790394	-0.053942481	16.68592134	10668.11952	0.013269105	1487083.995	1502837.742	1	3.55
129	2	1	1	-0.5	0	0	0.151240937	-0.005536921	-0.02087586	-0.453917026	-0.016222331	-0.061803593	16.59220069	9585.257706	0.014341968	1503096.771	1519154.699	1	2.3
130	2	1	1	-0.1	0	0	0.019311525	0.005919871	-0.020628374	-0.057481405	0.017565397	-0.063853536	16.29535787	7282.987479	0.014213957	1519397.77	1531705.772	1	0.65
131	2	1	1	-0.07	0.07	0	0.010950639	0.013640633	-0.023825612	-0.034340902	0.042475624	-0.071247951	16.6709698	11718.02558	0.014009605	1531964.105	1548156.772	1	0.35
132	2	1	1	0.49	0.49	0	-0.147126953	0.160150881	-0.045546204	0.442028245	0.480711599	-0.137508377	27.09183018	7967.68607	0.014016556	1548415.913	1562040.686	1	3.1
