TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime	BN	TrueForce
1	2	5	1	0.21	0.21	0	-0.058797719	0.059660494	0.055445231	0.176619743	0.179337545	0.108977029	50.41195221	5351.443209	0.001457199	0.054700853	13090.05987	1	1
2	2	5	1	0.7	0	0	-0.218788603	-0.002696857	0.145616107	0.656106854	-0.007054754	0.467793619	33.30662716	6149.965703	0.001810039	18128.45149	31440.78613	1	2.55
3	2	5	1	0.64	-0.64	0	-0.209333158	-0.197450061	0.13927505	0.628743968	-0.591994122	0.351814621	17.12282933	5697.687649	0.001582761	36496.37023	49410.78599	1	3.65
4	2	5	1	0.35	0.35	0	-0.105103618	0.108831428	0.060543233	0.313983715	0.326138221	0.218663346	26.86067726	7594.183037	0.001582901	54480.00228	69362.91033	1	1.7
5	2	5	1	0.07	-0.07	0	-0.015118721	-0.017746096	0.005448411	0.043511114	-0.051846409	0.031680549	17.291308	3984.282254	0.001675135	74415.7211	84862.69645	1	0.4
6	2	5	1	-0.21	0.21	0	0.060214415	0.058467544	-0.028551223	-0.181646691	0.175176048	-0.06661041	26.93434109	8311.68261	0.016281603	89916.36639	104902.9402	1	0.95
7	2	5	1	-0.49	0.49	0	0.150179705	0.155184556	-0.090926595	-0.451380716	0.465877359	-0.304228629	367.0453547	8802.883611	0.003768026	109951.0143	125865.1525	1	2.25
8	2	5	1	-0.35	-0.35	0	0.114641488	-0.102961402	-0.086469001	-0.343018124	-0.307395221	-0.281013779	772.4225226	8357.323917	0.003760453	130935.713	146066.145	1	1.6
9	2	5	1	-0.07	-0.07	0	0.018747053	-0.010453899	0.007255818	-0.056888545	-0.031491173	-0.00752987	25.92565714	3966.625544	0.003896256	151120.2208	161689.7079	1	0.35
10	2	5	1	0.3	0	0	-0.085092303	-0.002424156	0.08095884	0.256247988	-0.007337208	0.170777642	16.45110271	7234.44353	0.003352716	166738.0875	181023.9444	1	0.85
11	2	5	1	-0.35	0.35	0	0.102938917	0.114520781	-0.068579397	-0.308849119	0.342494156	-0.167789004	17.21873818	8534.548884	0.201812043	186088.3142	202352.1292	1	1.15
12	2	5	1	0.07	0.07	0	-0.023240336	0.011281167	0.026447358	0.068458605	0.034523255	0.008753838	27.42154346	5828.279399	0.009689251	207389.6262	219586.9399	1	0.35
13	2	5	1	0.07	0.07	0	-0.019919317	0.011876183	0.017498546	0.058916351	0.035822764	0.001179547	16.0743961	4068.198485	0.009631185	224657.8501	235054.4609	1	0.3
14	2	5	1	-0.5	0	0	0.152250113	0.003329046	-0.082400952	-0.456394276	0.011055324	-0.308589902	22.65965086	10551.43541	0.038604469	240109.5549	257788.6486	1	1.4
15	2	5	1	0	-0.9	0	-0.00686835	-0.289021925	-0.006575509	0.020540311	-0.867065774	-0.034832959	27.13491092	7912.046844	0.015561	262843.3356	278074.8045	1	3.2
16	2	5	1	0.1	0	0	-0.018697649	-0.002385512	0.002032801	0.056254794	-0.006994689	0.041026304	16.73335917	5167.752236	0.015100665	283110.3419	295074.7589	1	0.25
17	2	5	1	-0.35	-0.35	0	0.108771851	-0.107863397	-0.077716542	-0.325603429	-0.322295419	-0.236170913	22.40839155	8067.205118	0.014850733	300129.2866	315142.4272	1	1.55
18	2	5	1	0.7	0	0	-0.217728936	0.003495575	0.154162655	0.652830747	0.010130663	0.361778421	27.14949782	7395.291423	0.014765523	320214.233	335566.0887	1	2.65
19	2	5	1	-0.49	0.49	0	0.146680224	0.157227324	-0.089047532	-0.439587502	0.472070404	-0.335304646	26.96898497	10011.40914	0.014011895	340615.4715	357911.5254	1	2.35
20	2	5	1	-0.5	0	0	0.155619132	-0.00071915	-0.097906743	-0.466242381	-0.001671912	-0.332951174	249.9315328	5683.904489	0.015400446	362966.4516	375362.5752	1	1.5
21	2	5	1	-0.64	-0.64	0	0.204783635	-0.198748242	-0.139585351	-0.615580938	-0.595921033	-0.385109911	16.6272395	10484.78714	0.014821519	380417.1597	398047.3575	1	2.9
