TN	BN	Hand	Digit	Corr	TargetX	TargetY	TargetZ	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	1	2.0	4.0	1	0.0	0.0	0.75	0.0	-0.0008719419119745008	0.0038138772893813178	0.09840708018615962	0.0015476397080381706	0.010761877123126151	0.2938479285877762	3.1872358813416213	15171.56628210796	(0.0011233151163409889, 0.011061865026170493)	0.03354984801262617	16670.02116558433
2.0	1	2.0	4.0	1	0.0	0.0	0.85	0.0	0.0002976678397707404	-0.0013874765424022328	0.14003741512169077	0.00023992105571767096	-0.0027705508635985643	0.4202037994964525	33.610751706874	14073.658698820509	(0.0031332384413629826, 0.004784023444672573)	18757.94511535787	34309.314678641385
3.0	1	2.0	4.0	1	0.0	0.0	0.55	0.0	-0.0018553204431004558	0.002505727046745898	0.021164629587243855	0.004983314405000322	0.006481364385924726	0.06129658960860729	66.14170873945113	11634.9630295299	(0.0017392315295074472, 0.008640492521642281)	36354.39729150676	49479.002898413455
4.0	1	2.0	4.0	1	0.0	0.0	0.85	0.0	-0.0020386168495824435	0.0025662791678428	0.14057456321049733	0.006633758925903815	0.0076340989563836725	0.4212659189745911	28.399949238519184	25974.858033077908	(0.004494613671409591, 0.01005551448825003)	51545.48156436067	78998.0843764206
5.0	1	2.0	4.0	1	0.0	0.0	0.55	0.0	-0.0059870424194454356	-0.0011205595125250989	0.02047675288014017	0.017831650164047187	-0.0036206327261535387	0.061704921034561044	41.77430577692576	23195.147451595403	(0.0026370724807927718, 0.01792138765562132)	81042.61742813105	105732.42534793098
6.0	1	2.0	4.0	1	0.0	0.0	0.95	0.0	-0.0049886229658661066	-7.380194374428939e-05	0.17881620508125406	0.013703467228279306	0.0006525645552184489	0.5351210803387496	76.45427665556781	22585.506901785266	(0.055214141759226315, 0.05685881132024451)	107806.75285574398	131883.46313235525
7.0	1	2.0	4.0	1	0.0	0.0	0.65	0.0	8.715966397227583e-05	0.001441231116048658	0.059447745479515035	-0.00048806390692287253	0.005715572111754108	0.17811435111009466	33.3806434791768	19478.56711501663	(0.0020195122926297054, 0.006349027338641945)	133947.99845962552	154902.07126572204
8.0	1	2.0	4.0	1	0.0	0.0	0.65	0.0	-0.000483467470075634	0.006176100556623321	0.05795129320210557	0.0007059091180643727	0.019143317867743037	0.1755934081025401	67.11866582918447	14033.320837232168	(0.000992882491252596, 0.01886430427752373)	156972.22983981192	172493.88845695648
9.0	1	2.0	4.0	1	0.0	0.0	0.75	0.0	-0.0026257954721836787	0.0013274423296841809	0.10102769512474286	0.008168709878701642	0.005050513016938041	0.30143511100938536	66.12930988194421	17955.539518079604	(0.0008081620605494738, 0.009296256047484934)	174561.9939260214	194001.50135584408
10.0	1	2.0	4.0	1	0.0	0.0	0.85	0.0	-0.004126845005793345	-0.0009177120648057313	0.13872144655527574	0.01244527356452476	-0.003206306024429284	0.415019913023575	32.79753249080386	17767.61075462855	(0.029874977499843577, 0.03238372169997366)	196046.60475502897	215281.06278635096
