TN	BN	Hand	Digit	Corr	TargetX	TargetY	TargetZ	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	1	2.0	2.0	1	0.0	0.0	0.55	0.0	-0.000660700032641707	-0.002185767567242536	0.020429297322042017	0.0021115771922144084	-0.00772259655033003	0.0615167772945765	29.273339387145825	8542.606123286532	(0.0015791198748570227, 0.007794050809602416)	0.13310537906363606	10060.72413707443
2.0	1	2.0	2.0	1	0.0	0.0	0.55	0.0	-0.0009092097356140308	-0.0016228874793355885	0.019060288395513325	0.0033750146782876977	-0.0044154926079946755	0.056127992675667926	33.200130696059205	11567.41550906736	(0.0009098970213044943, 0.006112771634333947)	12140.51480058697	25169.983968997258
3.0	1	2.0	2.0	1	0.0	0.0	0.95	0.0	-0.0011676675953308886	-0.00609478894140969	0.17835599298084892	0.004279865351727392	-0.017701719899927526	0.5373568322270512	8.797354530543089	11703.390139562543	(0.0009991470103284683, 0.018630766747020938)	27235.754076667945	40428.05744901125
4.0	1	2.0	2.0	1	0.0	0.0	0.85	0.0	-0.004199460076173798	-0.0008136772195452835	0.14077582970931568	0.01405499753927442	-0.0013728456307506853	0.4208626230258642	8.77292147197295	19302.061346621485	(0.0015625410967443332, 0.013205918522439124)	42499.19954429788	63289.112197991926
5.0	1	2.0	2.0	1	0.0	0.0	0.75	0.0	-0.002794245171853858	0.007509153560392279	0.09989333943694234	0.00754113440268212	0.02175059811544211	0.30032089723048827	33.66764058591798	14610.264139439096	(0.001389465009243052, 0.02334795060337504)	65378.06671168073	81464.40251360764
6.0	1	2.0	2.0	1	0.0	0.0	0.55	0.0	-0.0011306155668484418	-0.005748977202080008	0.019507438773175734	0.0035213237948344463	-0.017246931606240024	0.06113160906386228	33.96557785163168	9301.307204324985	(0.0018895488276096596, 0.01750301812882973)	83530.07890049776	94290.55593561498
7.0	1	2.0	2.0	1	0.0	0.0	0.75	0.0	-0.0022026859075625006	-6.135056317724263e-05	0.09983703364614349	0.005119071138362444	0.0001396410461909081	0.30047241931792235	33.52942978381179	10344.324313278776	(0.0011474932993224916, 0.006739404335768208)	96380.20186799986	108199.16395228938
8.0	1	2.0	2.0	1	0.0	0.0	0.55	0.0	0.0013120561349789582	-0.004192144620347116	0.01923192187380751	-0.004680661697099403	-0.013644619888926512	0.05838242160677387	8.809388702502474	8327.034834946971	(0.0015707978287235339, 0.014319955292925993)	110265.15176931571	120098.44109886035
9.0	1	2.0	2.0	1	0.0	0.0	0.85	0.0	0.01822146253592019	-0.02301233081977494	0.14093443198290978	-0.054890972522766784	-0.06945779301576471	0.4217504234378573	41.67912631237414	23316.448398138164	(0.0020071456823897603, 0.08853599417399854)	122165.83691562118	147502.40319044678
10.0	1	2.0	2.0	1	0.0	0.0	0.75	0.0	-0.0009415142706391509	-0.0020075423469539944	0.09931349660486766	0.0030187584533511343	-0.005245764475127257	0.2999546807049669	23.750377440592274	13633.464226382785	(0.0008547749947464874, 0.006249563753995936)	149544.11112585512	164669.13282385212
11.0	1	2.0	2.0	1	0.0	0.0	0.95	0.0	-0.0020294239758878686	0.0026448717640753516	0.1796799267566952	0.0066709188519649834	0.008128830933659903	0.5401384298466477	41.455217520706356	14100.797611259622	(0.0014845869349305184, 0.010373682347226416)	166734.8781338078	182295.5187609332
12.0	1	2.0	2.0	1	0.0	0.0	0.85	0.0	-0.0024639059452908263	-0.002092695115964438	0.14074485389486546	0.005158237959384891	-0.007864179752935296	0.4226007782101171	34.26789118384477	12702.1841682581	(0.0010003896808456615, 0.00881356255440789)	184386.1026304512	198603.7073315092
13.0	1	2.0	2.0	1	0.0	0.0	0.85	0.0	0.001698502102400614	0.0035488592568866384	0.13988622873273893	-0.004771813571479039	0.012200302902129367	0.41901780727855553	8.835280445055105	12535.500118887285	(0.0012107707494852305, 0.012037016898137583)	200679.75426922203	214680.8103601943
14.0	1	2.0	2.0	1	0.0	0.0	0.65	0.0	-0.0039035617566917317	-0.0011739256548884969	0.058703105210955675	0.012099116552942558	-0.0037159926060993387	0.17647553215838774	8.776203525485471	14718.266945958021	(0.0010102403879962856, 0.012907578843858621)	216747.8400459804	232928.76746597176
15.0	1	2.0	2.0	1	0.0	0.0	0.85	0.0	-0.0019251301764380362	0.002345110711280629	0.13904054322117876	0.004415881039278171	0.006323208115251555	0.41648075074387503	109.07968382525723	10169.79142204218	(0.0024973874716103144, 0.009057001617000482)	234990.05173970363	246639.81791182596
16.0	1	2.0	2.0	1	0.0	0.0	0.95	0.0	-0.0035881555550033805	-0.0008061243890445935	0.1795158007171741	0.011444221410028276	-0.0018033569692603724	0.5401038223849853	32.75194845627993	10928.801015834324	(0.0013323873431778182, 0.010858089660779712)	248706.05407068797	261108.72668102093
17.0	1	2.0	2.0	1	0.0	0.0	0.75	0.0	0.003665064949011165	0.0012325356195691528	0.09971902037079527	-0.011674949592051464	0.0043126230565805335	0.29938594644083627	200.06615154852625	10110.120093871956	(0.01325844243431734, 0.017352135832536635)	263177.1836941916	274758.5559414583
18.0	1	2.0	2.0	1	0.0	0.0	0.65	0.0	0.004773000444843327	-0.005238254803656361	0.0600233463035017	-0.015160602447409266	-0.015391071675246115	0.17764385442893038	9.287109423894435	9200.569034655928	(0.0013451176821350818, 0.02210636831951372)	276838.0049070256	287501.46561795555
19.0	1	2.0	2.0	1	0.0	0.0	0.75	0.0	0.0018742888374138522	0.0022674244547064015	0.10015954833295238	-0.00643209835154848	0.0060577800719566754	0.30075330739299766	9.340351563878357	14950.638322377927	(0.0018404999010888576, 0.0093822162337732)	289592.00208008406	306002.37292263773
20.0	1	2.0	2.0	1	0.0	0.0	0.95	0.0	-0.0003383020678618124	0.001637432072926548	0.18123628595407082	0.0017270302221756026	0.004329649294478433	0.5441666285191133	32.60571486316621	12667.351399693871	(0.0015286913098074618, 0.00472703002913028)	308093.31271232804	322220.43382875563
21.0	1	2.0	2.0	1	0.0	0.0	0.55	0.0	-0.00406387597893742	-0.002510409801656621	0.02011151293202118	0.011123441908926762	-0.007369383037108546	0.059602105745022116	56.43814355426002	11592.281054399791	(0.0013100303519402593, 0.013146488157258069)	324282.9299085279	337337.81491275295
22.0	1	2.0	2.0	1	0.0	0.0	0.65	0.0	0.0013917277069982498	0.001939933724217524	0.06138756389715461	-0.004142813847422386	0.005916908993369496	0.18191961547264945	43.324163038050756	12618.808411381906	(0.001287462692692051, 0.006277520648632677)	339405.3179431794	353512.47908604273
23.0	1	2.0	2.0	1	0.0	0.0	0.65	0.0	2.9261823309375092e-05	0.00045463723707994674	0.05976125734340365	-0.0011236022242410934	0.0018818200883963243	0.17813934538795873	8.78313228895422	13211.230958622764	(0.001110411001596243, 0.001743617901003931)	355574.0087842278	370264.17153017246
24.0	1	2.0	2.0	1	0.0	0.0	0.95	0.0	-0.0004970841444916706	-0.0005023063872945377	0.17958382543678952	2.2658491501200578e-06	-0.000924272237582402	0.5387056992446785	23.37877637182828	29092.154148442205	(0.0017599486109954041, 0.002554372069070984)	372333.48734659376	402915.31288153783
25.0	1	2.0	2.0	1	0.0	0.0	0.65	0.0	-0.00205333407930003	0.0018077160314332597	0.059624505989166465	0.006677910615056574	0.005811579377166809	0.1788735179674994	75.56119420041796	11701.51134787011	(0.0016103550252037405, 0.009270766794781332)	404992.4771751539	418182.8302800568
