TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime	BN	TrueForce
30	2	4	1	-0.9	0	0	0.289285441	0.005370244	0.031031662	-0.866820506	0.015398607	0.090806134	6634.112116	9951.326441	0.015992752	629052.3888	646616.2122	1	3.75
31	2	4	1	0	-0.7	0	0.002230869	-0.222625976	0.076230558	-0.005818636	-0.667003957	0.228874781	8767.573109	11651.41728	0.016302128	651672.8174	670267.7531	1	3.35
32	2	4	1	-0.64	0.64	0	0.197550376	0.207588191	-0.00063939	-0.59210085	0.622667465	-0.001506175	7083.912585	10018.07207	0.016821822	675341.0581	693318.6471	1	4.15
33	2	4	1	-0.5	0	0	0.15430283	0.004780048	0.024306145	-0.462261103	0.014081191	0.073238874	5750.643191	7850.177249	0.040165877	698374.5981	712886.8976	1	1.9
34	2	4	1	0.3	0	0	-0.085949234	0.00566811	-0.00548748	0.257070841	0.01791067	-0.016874434	8083.949782	9568.085255	0.014790139	717942.6545	734054.1699	1	1.05
35	2	4	1	-0.1	0	0	0.018239279	0.002339517	0.006479994	-0.053940973	0.006112212	0.017334237	6767.298875	7301.789411	0.016054853	739112.3935	752772.4276	1	0.2
36	2	4	1	0.64	0.64	0	-0.205838118	0.201152463	-0.025397531	0.616154845	0.604234252	-0.077199689	7278.242877	11112.5762	0.0148308	757829.0624	776091.9084	1	3.75
37	2	4	1	0.35	-0.35	0	-0.119150808	-0.10173437	0.018061616	0.355833961	-0.304749939	0.053406638	4656.50592	6357.460304	0.016129725	781147.8181	794074.6226	1	2.4
38	2	4	1	0	-0.5	0	-0.000965398	-0.151257679	0.043291896	0.002766718	-0.453837776	0.130058796	3915.933158	11716.67797	0.014247853	799118.3461	817842.7846	1	2.75
39	2	4	1	0	0.1	0	-0.006324602	0.019362333	0.001176153	0.018553006	0.057407243	0.003711568	8950.618612	9090.477054	0.01417594	822901.7299	837977.0362	1	0.2
40	2	4	1	0	0.7	0	-0.003909919	0.216755933	-0.024613455	0.011276587	0.650591493	-0.073016379	6683.205048	11085.71115	0.013774825	843035.0519	861762.114	1	3.55
41	2	4	1	-0.49	-0.49	0	0.154396489	-0.15222079	0.056319561	-0.463675006	-0.457018433	0.170835541	6732.904795	14467.05057	0.014581974	866835.679	888513.7327	1	3.6
42	2	4	1	0.35	-0.35	0	-0.10798567	-0.104753827	0.025344033	0.324442551	-0.314229112	0.077039194	4760.550612	6645.628836	0.014407805	893570.731	906847.9083	1	2.2
43	2	4	1	0	-0.7	0	0.00361854	-0.218989599	0.066988528	-0.01079088	-0.657163012	0.200324706	4833.488745	7633.135158	0.013383587	911905.6162	926966.7988	1	3.95
44	2	4	1	0	-0.5	0	0.007399439	-0.154216287	0.039374173	-0.021842255	-0.461774891	0.118854951	6361.006744	8795.317387	0.014279447	932025.6117	947617.0779	1	2.8
45	2	4	1	0.3	0	0	-0.084293162	0.002341705	-0.004457557	0.252329208	0.005762715	-0.012365576	1550.305286	5284.396724	0.013152337	952675.5874	964373.7265	1	1
46	2	4	1	0	0.3	0	-0.001916308	0.086588735	-0.014269889	0.00597551	0.259021711	-0.042351897	8450.545131	9501.776137	0.015018671	969441.9294	985491.6915	1	1.3
47	2	4	1	0	-0.7	0	-0.009792707	-0.221066644	0.074406659	0.029054427	-0.664106273	0.223311531	6883.62464	12651.64484	0.014567673	990543.6588	1011337.186	1	3.8
48	2	4	1	0	0.9	0	0.002563306	0.28369377	-0.043434031	-0.007269116	0.851307894	-0.130714086	23.42728633	12324.14602	0.014469518	1016378.011	1036155.384	1	4.45
