TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	2.0	3.0	1.0	-0.64	0.64	0.0	0.20002731576074206	0.20501166598249487	0.021657599755873558	-0.6001143165557984	0.6153263214096351	0.06405725795381889	16.51710842270404	8617.578232267988	0.03328276183385961	0.12617665925063193	18661.89395544643
2.0	2.0	3.0	1.0	0.0	0.7	0.0	0.0043677544033308745	0.21630615144888077	0.03131472953383352	-0.013426955945715593	0.6496305783652326	0.09362374914166993	16.548105588299222	7767.314920536592	0.03326521490675862	23716.354865653557	41463.18175966735
3.0	2.0	3.0	1.0	0.21	-0.21	0.0	-0.056781938009924815	-0.06138232822447087	-0.0064263920042714195	0.16966605928475648	-0.1842440924941292	-0.019874277866785417	16.554305009776726	8551.314334152266	0.03371934562500714	46499.103452821146	61581.488060444826
4.0	2.0	3.0	1.0	-0.0	-0.5	0.0	-0.0005174249960044354	-0.1511477877737929	-0.014425055313949775	0.0005164582337001714	-0.45402601024567957	-0.043275165941849325	16.70783209556248	9734.13629339484	0.03614940629708023	66649.86122390837	83465.96165761002
5.0	2.0	3.0	1.0	-0.3	0.0	0.0	0.09168156085638599	0.01315986627971344	-0.004498255893809255	-0.2743001892769954	0.039965137942724605	-0.011526353856753935	27.970010793069378	9862.033843790414	0.07407606869383919	88519.08750204893	105067.56468467938
6.0	2.0	3.0	1.0	0.9	0.0	0.0	-0.28392839948974913	0.0024330688173356263	0.013077616540768555	0.8535978777892954	0.006587082433416547	0.04001105973903718	27.697235826053657	14945.99638901127	0.03448534576439712	110121.48843239993	131751.96257585776
7.0	2.0	3.0	1.0	-0.0	-0.3	0.0	0.011979225079534086	-0.08982775097938511	-0.015091941710532741	-0.03538739758787341	-0.2693214065702937	-0.045779372854189204	17.032755247782916	8602.182126895059	0.0346863582327348	136806.1317481188	153003.09278687928
8.0	2.0	3.0	1.0	-0.07	-0.07	0.0	0.027412221437908956	-0.007575078980904704	-6.552224000655471e-05	-0.08100663191797988	-0.02291945258414796	-0.0007001144426106443	22.497006953926757	10184.985925472574	0.03506368665579815	158058.24548070086	174743.67211280332
9.0	2.0	3.0	1.0	0.0	0.1	0.0	0.006531510864543895	0.01872986729435311	0.007446359960363469	-0.020177179517932728	0.05631907897734878	0.023575060654722813	16.604629810899496	17.421131386072375	0.03388176561329899	179791.5342753695	185788.5589130019
10.0	2.0	3.0	1.0	0.0	0.5	0.0	-0.001988228680388212	0.15306207640153147	0.03494129243916988	0.006223640229742877	0.4591862292045944	0.10546475623717089	16.5747266728431	11023.741633951431	0.034969814757818546	190843.0325867521	210456.76753627777
11.0	2.0	3.0	1.0	0.35	0.35	0.0	-0.10561053833978856	0.10792230006748205	0.04023003280692228	0.3161518602743477	0.32386400802316306	0.11858435339902273	22.455069614807144	8184.666107743396	0.034223150516429365	215511.2313638674	230596.87431965722
12.0	2.0	3.0	1.0	-0.49	0.49	0.0	0.14925288618296656	0.15716505014704196	0.027306105134683456	-0.4475320736338938	0.4713980426204093	0.08287963378354224	26.982477866113186	9544.762264573365	0.03409595239937297	235643.74019714887	255142.39072681812
13.0	2.0	3.0	1.0	0.07	-0.07	0.0	-0.016547798456107335	-0.009543199868548125	0.0033559899290694917	0.04974050318903893	-0.02879144597350569	0.011990606546192217	16.786601350759156	6898.505462973844	0.03465180492666303	260198.53861170122	273425.0333766395
14.0	2.0	3.0	1.0	-0.07	0.07	0.0	0.009487533349808812	0.022828076282795373	0.00658867475398528	-0.028171276587275994	0.06761025846193447	0.01972024719626575	16.309974482282996	6450.478030848899	0.034818839474349106	278451.4524355909	291192.4547815288
15.0	2.0	3.0	1.0	0.0	0.9	0.0	-0.0022845283788626362	0.28253359885971274	0.07411103074695846	0.0062385689387145	0.8471799960226987	0.22128021973000334	16.53060130774975	7234.459210842033	0.03500449742855163	296230.7468454819	313443.39937428595
16.0	2.0	3.0	1.0	-0.0	-0.7	0.0	-0.0020722981577101654	-0.21727086801481826	-0.023432211795199387	0.006605325755997859	-0.6527189437044788	-0.0709832913709495	16.60499448189512	11417.143688595388	0.034216036880535185	318465.9095094539	337061.4819485345
17.0	2.0	3.0	1.0	0.07	-0.07	0.0	-0.015177948062140888	-0.012029349978639137	0.008375896849013853	0.045825167648573105	-0.036185157756634334	0.025677015335322628	16.64182639797218	5640.354578295955	0.034214064563889424	342100.2867419302	353998.21201106533
18.0	2.0	3.0	1.0	-0.0	-0.3	0.0	0.011361110063204043	-0.08836936414834873	-0.012722941939412036	-0.03282092852029311	-0.26546415445434135	-0.037711055161335216	16.576550027821213	7051.081490790239	0.03472397373695259	359069.16122058465	372782.58521392127
19.0	2.0	3.0	1.0	-0.35	-0.35	0.0	0.1102200221622543	-0.10578418870274886	-0.02804312809946652	-0.32926818772315447	-0.3178381052118312	-0.08399205310132929	22.638864524196833	4868.248956030584	0.03356341320513884	377837.1777708817	389466.87735007436
20.0	2.0	3.0	1.0	-0.49	-0.49	0.0	0.15634612478927748	-0.15231599485701874	-0.043995562676428124	-0.46784071124565796	-0.4574335236746402	-0.13116270084686277	16.575820685829967	11585.092118082684	0.033626134233152645	394522.7925739455	412984.26876065787
21.0	2.0	3.0	1.0	0.07	0.07	0.0	-0.01071578759346058	0.01338809123791107	0.010506092927431654	0.03282711752539971	0.04077928991160695	0.031380947585224694	16.885062897927128	5536.389750224771	0.034173790692443314	418023.5786253761	429535.8624338842
22.0	2.0	3.0	1.0	-0.21	-0.21	0.0	0.06012362096823955	-0.05984289736420989	-0.008030255588644009	-0.18118009474402574	-0.1795610613662022	-0.02344988784627078	27.150227178935893	12811.251749066287	0.0342533028242145	434590.8966091665	453870.6525120215
23.0	2.0	3.0	1.0	0.21	0.21	0.0	-0.06021840683306532	0.056956326392316625	0.017365694666961806	0.17926334173558767	0.17083660990337735	0.05264640878916649	16.55795173428487	7817.8173115011305	0.034143604296439735	458921.7135811632	473337.07183353545
24.0	2.0	3.0	1.0	-0.3	0.0	0.0	0.08329671918009078	0.0017504914716582887	-0.0031273853666118345	-0.2494693569838326	0.006190183348571243	-0.009382156099835504	16.912778010009788	11768.503387982491	0.034665168428935245	478377.08259867213	496656.46471228683
25.0	2.0	3.0	1.0	0.0	0.9	0.0	-0.0020790957051602006	0.28554122659885695	0.04593137102308076	0.005913594379757633	0.8562352485137031	0.13719901121527112	16.59952440240886	9751.713504592772	0.03372758563471883	501727.9554603592	518457.56033413636
26.0	2.0	3.0	1.0	0.64	-0.64	0.0	-0.2081553525682241	-0.1978111771830836	-0.035670301365735346	0.6246926426196784	-0.5950843645014372	-0.10765178301686729	22.488254806376062	9301.528670359403	0.03419511711234142	523530.4430368851	539624.8257321568
27.0	2.0	3.0	1.0	0.5	0.0	0.0	-0.14975498972281334	-0.0004843522302194758	0.020362761882891767	0.45033315519632533	-0.0023917656242548047	0.06195804989678699	16.870476014446467	12084.643023976241	0.03488023445949399	544681.542870705	563549.1292169318
28.0	2.0	3.0	1.0	-0.0	-0.7	0.0	-0.005569979435127395	-0.22003965367403344	-0.01383572747395534	0.0181341863425626	-0.660766346493546	-0.04100363469927504	16.657142637996003	10151.501702843234	0.03479612056142602	568599.0051006665	585745.0206714566
29.0	2.0	3.0	1.0	0.21	0.21	0.0	-0.06211137058337869	0.05614330519005406	0.023439578850909415	0.18643121957085318	0.16975705578662592	0.06899120164771566	26.961326846503653	10679.894915985642	0.03471616116512892	590800.7039636577	608045.8684983896
30.0	2.0	3.0	1.0	0.0	0.9	0.0	-0.00687314049372864	0.28613908276583644	0.047664307621801516	0.020166251651173996	0.8585467253917984	0.14207738155160277	16.89162700495217	10368.856682645855	0.051053205717855425	613118.6997823243	630630.0832145935
31.0	2.0	3.0	1.0	-0.1	0.0	0.0	0.019805045085333043	0.006904456686935845	0.00432319218732069	-0.05918855034099309	0.020551523692946216	0.012557582970751269	27.349338328349404	5300.955769984284	0.055692867907340834	635673.3300828782	647363.5868013371
32.0	2.0	3.0	1.0	0.64	-0.64	0.0	-0.20506218362878503	-0.20182646472443638	-0.03334098115516804	0.6149923352449213	-0.6045730545132852	-0.10020605172826447	16.5747266728431	12457.861553572002	0.05119617074736522	652404.4501706085	671150.3416798369
