TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	2.0	3.0	1.0	0.7	0.0	0.0	-0.2203198895810081	-0.0017320582493389747	-0.005095823605710592	0.6597296363472777	-0.005325651842306045	-0.014829700160230885	750.3453441604506	8668.049137329945	0.004467781164623919	0.05579478238360025	15788.337578112987
2.0	2.0	3.0	1.0	-0.0	-0.7	0.0	-0.0006787016646510498	-0.2188193536398757	-0.050237112993045896	0.002942444653977163	-0.6559401525424703	-0.15094022430758813	11017.447720656492	13701.687919736287	0.007695281098996665	20857.682102494437	41423.10275867203
3.0	2.0	3.0	1.0	-0.35	-0.35	0.0	0.11136343438192164	-0.10449365597674487	-0.02701461509115277	-0.332730793655729	-0.31354570647737934	-0.0815016159303592	16.948485008470016	8851.306910677522	0.009228486253928178	46475.54109996781	61924.18328111307
4.0	2.0	3.0	1.0	-0.21	0.21	0.0	0.062188163448001786	0.05725840076919553	0.016028705272004284	-0.18578762777827063	0.17287575760904428	0.05028341496913713	16.76687846702407	9318.909470963263	0.01111826902058083	66976.84771890636	82842.13578042909
5.0	2.0	3.0	1.0	0.35	0.35	0.0	-0.10995952719625392	0.10634399155170715	0.012599172961036187	0.3285190720987255	0.3180608964479529	0.03692775463499687	300.0191088030988	7134.182070403767	0.012375926849777808	87895.19698110234	101709.92147887591
6.0	2.0	3.0	1.0	-0.07	-0.07	0.0	0.013502436775782929	-0.011354135563726664	-0.000956795605356886	-0.04063678742163807	-0.03322080557830087	-0.003831705195562529	8483.656870124832	8834.730755541386	0.012237471064242795	106762.7171985041	121977.83999078092
7.0	2.0	3.0	1.0	0.1	0.0	0.0	-0.020282535029555467	-0.0071405840637907	-0.0007253894864689414	0.06065338944723272	-0.020450673984203194	-0.0016726207368158441	8516.556462855078	8851.003139090608	0.013970551868909345	127030.33813825095	142228.74328275066
8.0	2.0	3.0	1.0	-0.0	-0.9	0.0	0.007522735707583664	-0.28674908388425924	-0.06195562066066751	-0.023053746226335364	-0.859826451096338	-0.1864161867702836	7633.326915107318	15767.868916540465	0.015010131857635795	147281.58093962702	170663.61983406387
9.0	2.0	3.0	1.0	-0.21	-0.21	0.0	0.058348502953244806	-0.06089249479725878	-0.018172689402561337	-0.17498077031258985	-0.18248326875034282	-0.05470117647044437	16.126879512739833	7534.5005017879885	0.016411374642400476	175716.25874483288	189698.03500265698
10.0	2.0	3.0	1.0	-0.49	0.49	0.0	0.15167853164689493	0.15666460822990103	0.030012317082543705	-0.45432347092209446	0.4699290861425587	0.09150181734971397	17.052781135134865	12400.337758990645	0.01721122894695969	194734.15719978948	214232.66313956265
11.0	2.0	3.0	1.0	-0.0	-0.3	0.0	0.002265974311251088	-0.0880120850543682	-0.017912260624028065	-0.007866108961638595	-0.2635507160595203	-0.05277546349259232	7432.417934265686	8100.694262109755	0.01699157498783006	219285.66015800607	233883.68611680198
12.0	2.0	3.0	1.0	0.21	0.21	0.0	-0.06236129158667888	0.05879553556898354	0.019691261158201856	0.18624227364715717	0.17599817542408325	0.05944000000012628	7601.316027466964	8417.685559579695	0.018275162658702913	238936.42822968104	253968.49600611313
13.0	2.0	3.0	1.0	-0.21	-0.21	0.0	0.06507780302702486	-0.05807126228305315	-0.015340462348303996	-0.1948773470717794	-0.17482880304703285	-0.04506006866542012	6699.415285285795	7634.089808445424	0.019238647047679393	259021.4379591198	273152.92911656434
14.0	2.0	3.0	1.0	0.0	0.3	0.0	0.0033294603206137537	0.0850571976516219	0.016352306401213657	-0.009373364763967853	0.2548155309455705	0.04740894483879776	6650.620014937886	8034.935919880809	0.019462718429738287	278189.4112447262	292853.8475788737
15.0	2.0	3.0	1.0	-0.7	0.0	0.0	0.22163392671552978	0.0024221625300900884	-0.01042819256878702	-0.6632833164679752	0.008431781438872354	-0.031513463034811506	6768.336061075388	8602.495740633458	0.020786865791422207	297924.5935368526	313277.8984841352
