TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	2.0	1.0	1	-0.3	0.0	0.8	0.08512298927913577	-0.004554227314525594	-0.020917830167086593	-0.25634004604457555	-0.01689960930080514	-0.0635317006179913	66.89067245679325	5742.651770062366	(0.0054467651652637325, 0.25776511569519456)	0.03756120349862613	7777.209537918679
2.0	2.0	1.0	1	-0.9	0.0	0.8	0.2916058516932021	0.012246375168181278	-0.1434853131914252	-0.875464940551052	0.037192295334555925	-0.43169192034790804	41.243662457418395	16243.06038492432	(0.012670518682204925, 0.8761659850099032)	8322.771827344695	26654.736303924437
3.0	2.0	1.0	1	-0.1	0.0	0.8	0.016528808482278307	0.0015936256560261652	-0.0021302815289550026	-0.05224070587976207	0.006269863552403554	-0.007397940032046968	66.77251876317314	6909.265255409991	(0.0022399234217587924, 0.04884736002174542)	27217.159198611625	36071.368114036886
4.0	2.0	1.0	1	-0.0	-0.5	0.8	-0.00011961525560746748	-0.15103112459593393	0.06980245670252638	0.0018802016247196577	-0.4526078346842175	0.21009402609293049	25.3643892792752	10519.186300298315	(0.008260027394685752, 0.4541082564763794)	36636.38637862823	51630.8010638204
5.0	2.0	1.0	1	0.7	0.0	0.8	-0.22034185321210265	-0.008899457019353796	-0.09142568093385273	0.6597307886934166	-0.026568893963772267	-0.2754672465095005	141.77568229206372	10543.909231706493	(0.20818481255787527, 0.6917371009318967)	52197.14053470307	67214.93433535579
6.0	2.0	1.0	1	0.0	0.1	0.8	0.0016003153058980063	0.01719583131302449	-0.01096284428168215	-0.002276142579055826	0.0512638012033505	-0.03421606775005903	7.9166622599586844	16468.648974485404	(0.004474732491289276, 0.053122571304032036)	67747.03476161812	85675.02847176002
7.0	2.0	1.0	1	-0.1	0.0	0.8	0.01746563999800732	0.0033723603978552674	-0.006430029755093214	-0.05239691999402196	0.01205923760790295	-0.019610528725110266	100.01236237803823	8259.062552537216	(0.003102925170854836, 0.053491946709520635)	86237.17603915793	96408.2917637752
8.0	2.0	1.0	1	-0.1	0.0	0.8	0.019403976838062942	-0.0036312066888538608	0.0025699244678411004	-0.057273221580592615	-0.010343342415832901	0.007480888075072856	7.977562465384835	11435.804799883044	(0.002230669889520722, 0.060367827834302897)	96974.87009475299	110275.66351140194
9.0	2.0	1.0	1	0.5	0.0	0.8	-0.15025050719446428	-0.0036872702706823857	-0.05132991531242814	0.45379423329918755	-0.011514980642059247	-0.15353197528038354	8.106291650619823	10809.272585316648	(0.017376009322301326, 0.453070439971687)	110826.71010151898	123993.09639627609
10.0	2.0	1.0	1	0.0	0.7	0.8	-0.008730208877602192	0.22229292196643025	-0.2723901121538116	0.027873828858565316	0.6657134720506883	-0.8154765850309015	7.834246411221102	21135.50660767214	(0.00551635810744477, 0.6674672353327328)	124561.47948848229	150160.76633611738
11.0	2.0	1.0	1	0.0	0.3	0.8	-0.009212683689954962	0.0872218129775626	-0.07875385671778345	0.02812359017344901	0.25943195905619987	-0.23671934081025126	8.035180628212402	11792.232561481796	(0.006185668133238027, 0.26370191835119183)	150730.46078847256	164845.42907477953
12.0	2.0	1.0	1	-0.0	-0.1	0.8	0.0021801568931561835	-0.018033936544357587	0.012539864194706207	-0.00518096118943278	-0.053001254331615066	0.03551384756237452	7.975739106768742	9242.784328296693	(0.0023862999483061065, 0.0530980767266568)	165413.82055444046	176738.80557554003
13.0	2.0	1.0	1	-0.5	0.0	0.8	0.15128034642292432	0.0026036117300289874	-0.060382482642863056	-0.45442368619307416	0.008587697755821688	-0.18174254978256033	33.211763879080536	9408.331877686578	(0.018279015983048933, 0.45417315133594566)	177306.79154004974	189297.230572196
14.0	2.0	1.0	1	0.3	0.0	0.8	-0.08587035264688833	-0.005859680117696109	-0.009557640955214275	0.25651050263920727	-0.017190609070220964	-0.026979171435109528	8.208035109419143	14542.923158893245	(0.01016537578733279, 0.2567791245274064)	189865.38063905755	206564.42859012895
15.0	2.0	1.0	1	-0.0	-0.7	0.8	0.00342911452418488	-0.2185941066548408	0.06206091401541047	-0.01106420613828945	-0.6551349344930768	0.18696095216296293	33.32845888508018	11410.328456331627	(0.01238415333226197, 0.6557654995763946)	207133.72919683388	223023.65626610117
16.0	2.0	1.0	1	0.9	0.0	0.8	-0.2936330529789714	-0.01263789232179613	-0.13980279240100557	0.8811257438519204	-0.04008241829473158	-0.4211479056992401	25.180959313729545	8860.354001601081	(0.014810992656324051, 0.882971443493956)	223565.7731354222	236882.5796598394
17.0	2.0	1.0	1	-0.7	0.0	0.8	0.21890942653846618	-0.004054014140255746	-0.09629874113069326	-0.65575720140823	-0.013327336269368995	-0.28651581597619513	8.019864406378474	9800.560573643452	(0.009125943161141738, 0.6563453312324562)	237451.35477433723	251717.21335238908
18.0	2.0	1.0	1	-0.5	0.0	0.8	0.15173938588121083	0.0022942909517721377	-0.05975591668573965	-0.4553476347379216	0.005393886270991355	-0.18100727855344234	58.511970899417065	6367.657468061225	(0.008263669651571126, 0.45528649772994945)	252281.87970859653	260867.5267331855
19.0	2.0	1.0	1	-0.0	-0.1	0.8	-0.001078846308648532	-0.0179116022697704	0.009773739223315592	0.0027833690959336724	-0.05418797663932329	0.03161007095445123	33.43166103513795	7242.766459374252	(0.00580296001453797, 0.053830105348800165)	261434.5113086565	270634.38250654144
20.0	2.0	1.0	1	0.0	0.1	0.8	-0.005458042171211474	0.02143668090034001	-0.01289436179140957	0.0162446494193453	0.06424530415387564	-0.0395528496223404	66.8465471608215	7909.412582859659	(0.002700970194762135, 0.06720841404154856)	271204.37854255945	280593.69095733925
21.0	2.0	1.0	1	-0.0	-0.1	0.8	0.003006242334236607	-0.018176728199842618	0.011194903486685948	-0.00856555717269773	-0.051616949978022464	0.03472913710231007	134.0300511510577	9833.894137933385	(0.0016122538341534374, 0.05483387594365633)	281159.65044010227	293130.77754248295
22.0	2.0	1.0	1	0.9	0.0	0.8	-0.28690960958575645	-0.00420315017336137	-0.14638907454032257	0.8590456265315105	-0.01319209744438532	-0.43866367589837674	32.36171368189389	17763.07813715539	(0.017019095161067508, 0.8599384740526326)	293671.4142085657	315879.99887681147
23.0	2.0	1.0	1	-0.0	-0.9	0.8	0.002305425981880861	-0.2859344960091499	0.018991531242848247	-0.00649547738920294	-0.8575769031124438	0.05697459372854474	33.66322768852115	9976.06950062982	(0.009691498103435432, 0.8567911350388095)	316447.5559871644	330896.28402981546
24.0	2.0	1.0	1	-0.0	-0.3	0.8	0.0006746188202777807	-0.0839100910188666	0.04558113984893564	-0.0021533335551226296	-0.2525071356223345	0.138849164568551	33.39154712375603	7734.665090800263	(0.012441357678058209, 0.2529187997175782)	331465.08211864054	341255.3206541779
25.0	2.0	1.0	1	-0.3	0.0	0.8	0.08473142896648961	-0.000598335232225633	-0.023356160830089845	-0.2535792707015954	-0.001568420781670854	-0.07235733577477399	33.54434464927181	8293.362132688344	(0.016114397882430454, 0.25328744763091815)	341824.93196133873	352264.66646560945
26.0	2.0	1.0	1	-0.5	0.0	0.8	0.1516432275591854	0.0029664928662890278	-0.07597814908064371	-0.45399097374396	0.010226618815331157	-0.22830066376745184	33.533039822941646	6401.382325300801	(0.015001229733505542, 0.4529925292950245)	352798.9563819574	361323.7433132854
27.0	2.0	1.0	1	-0.0	-0.3	0.8	0.0026787300242322744	-0.08468744991346289	0.046421789883269504	-0.00852172917628111	-0.25422419610824964	0.13821249713893646	8.33056486590067	9440.242856897385	(0.006183826180486669, 0.2550663480948408)	361893.22078585974	373557.8933050238
