TN	BN	Hand	Digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	1.0	2.0	3.0	1.0	0.35	-0.35	0.8	-0.11997306555751548	-0.10856391086052442	-0.028745326924544456	0.3593689190218175	-0.32565936330800105	-0.08724307621881533	19.949040674475782	1001.2562965253551	0.23703132050410322	0.39858696726469134	3531.337578363548
2.0	1.0	2.0	4.0	1.0	0.2	0.0	0.8	-0.06354989347020483	0.010217587788006077	-0.02328459601739552	0.1902936184013193	0.030361439901867793	-0.06916713206683522	14.069427066829121	845.6512994919763	0.46586543705760713	4663.981705113429	7744.998061766011
3.0	1.0	2.0	2.0	1.0	-0.35	-0.35	0.8	0.12381986239811898	-0.11570928773475364	0.03123428702220088	-0.37230118830723624	-0.346480477732815	0.09448107118333415	14.513598087944501	1247.7708485964172	0.20138559804939685	8866.621422973709	12478.456793792646
4.0	1.0	2.0	2.0	1.0	-0.0	-0.5	0.8	0.011239528913714658	-0.1595588636673413	0.003111909666589474	-0.03345963255256565	-0.48204299545354135	0.010525932707710739	33.45176678323014	734.2300142185536	0.18805773853698157	13631.072206235387	16495.225890867347
5.0	1.0	2.0	3.0	1.0	0.0	0.2	0.8	-0.006680608054520823	0.07097765988707849	0.016711299305714133	0.020203670531423953	0.2114116238033379	0.047936598764018123	14.438475567146725	548.5869490300956	0.2827182867601933	17604.432885138747	20345.494672682777
6.0	1.0	2.0	3.0	1.0	-0.0	-0.5	0.8	0.00021404721637567625	-0.15350325233671225	-0.02020027466239438	0.001267645491637756	-0.46112477320801015	-0.05918173495079038	20.15945666727248	1021.0576448652091	0.18040697873476944	21445.008309061337	24733.45982604394
7.0	1.0	2.0	3.0	1.0	-0.35	0.35	0.8	0.12272095792961384	0.10476039173868579	0.029559395742732475	-0.36968422964673875	0.3155435768853764	0.08895284962233796	19.916584828138184	1067.088787161481	0.33119090350696534	25871.048181615606	29162.60123762527
8.0	1.0	2.0	1.0	1.0	0.2	0.0	0.8	-0.0550503588258367	-0.0016788000045522278	-0.007596063172349954	0.1655071384868051	-0.004291906721493488	-0.023291737239640842	14.570851659641448	2068.187909868982	0.1118250860297357	30300.426265604758	34846.66910024731
9.0	1.0	2.0	3.0	1.0	0.0	0.8	0.8	-0.01632665157906156	0.2671786167665502	0.023959334706644908	0.04804124580358847	0.8009855726489216	0.07100823987182303	14.11428177578955	1101.0948560400493	0.37015318221262156	36059.13491676529	40283.3595958262
10.0	1.0	2.0	2.0	1.0	-0.14	0.14	0.8	0.04090057326378438	0.052449088473262684	0.01199266041046676	-0.12247513487634709	0.15731489614621585	0.03597798123140028	367.87352576612875	1147.8983745456048	0.21143148583014157	41443.230895631816	44780.45005683418
11.0	1.0	2.0	4.0	2.0	-0.57	-0.57	0.8	0.187376715262142	-0.17107192373250013	0.10377727931639558	-0.5629717468993054	-0.5144458035932472	0.31215582513160833	19.840368289976595	0.0	1.0374927946603456	45911.326616310245	54599.785499675985
12.0	1.0	2.0	4.0	1.0	0.14	-0.14	0.8	-0.04817448852336985	-0.03642653542965546	0.0025336690318147337	0.14180444659003766	-0.1083085280817978	0.009477866788737854	33.44119128269085	1178.79014086202	0.476569353266248	55888.84383158404	59339.26497354116
13.0	1.0	2.0	3.0	1.0	-0.0	-0.8	0.8	-0.0006599231700760017	-0.2668712381447088	-0.019879835202563756	0.004342726481004713	-0.7979270647276268	-0.05849507896543904	347.87124291671034	668.2447258338016	0.2634832161398183	60506.99642292807	63448.54709033336
14.0	1.0	2.0	2.0	1.0	-0.8	0.0	0.8	0.26613676853759505	0.003193843854103484	0.05972288090333322	-0.7965328877455926	0.012494766183816175	0.18003840695811135	19.76269306209133	1367.0697877278144	0.4889797645049962	64612.121274005	68334.93084169674
15.0	1.0	2.0	4.0	1.0	-0.57	0.57	0.8	0.18289896575130937	0.18629564626337458	-0.013198382543679221	-0.5470460643017414	0.5584661382336839	-0.04041913481345927	19.518362533233358	2486.7078722202223	0.93995784171112	69520.26831138795	74936.33111089798
