TN	BN	Hand	Digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	1.0	2.0	5.0	3.0	-0.0	-1.5	0.8	0.017016958707264013	-0.021279128856105056	-0.017511467154954774	-0.1825619919026398	-0.2633703409152198	-8.745198488596621	834.0042999916477	0.0	0.835963396136928	0.10000000474974513	8919.518499998958
2.0	1.0	2.0	4.0	1.0	-2.12	-2.12	0.8	0.2238827064686592	-0.23061301214787056	0.057056107423514746	-2.0956491748383828	-2.1577207160729137	14.010487251233839	18.45350000075996	1233.6883999960264	0.578521142351632	11822.589400006109	15166.227000008803
3.0	1.0	2.0	3.0	3.0	1.06	-1.06	0.8	0.01638808846030168	-0.22777938435983852	-0.00935631342031007	-0.15079041738982576	-2.360932800955454	-2.2416369135149683	364.3251000030432	0.0	0.5491560722300253	18068.741399998544	26965.31060000416
4.0	1.0	2.0	2.0	1.0	-0.0	-3.0	0.8	0.007049639352760602	-0.27757381475864806	0.05563378347447978	-0.07699394924428346	-3.1093775692674495	29.29006777618093	14.926500007277355	5534.393199995975	2.5578598979794456	29871.561100007966	37434.713299997384
5.0	1.0	1.0	1.0	3.0	-3.0	0.0	0.8	0.0003591047210109071	-0.001203209057713317	0.005793972686350957	-0.0055119724431163366	-0.005888991977428684	-0.27819698132601733	966.7296999978134	0.0	0.010558148762917817	40337.959900003625	49249.417099999846
6.0	1.0	1.0	2.0	1.0	-1.5	0.0	0.8	0.17786913670018578	-0.016504294152425936	0.05385131609063831	-1.6919418252474918	-0.13678257127581178	2.406036578182638	18.117700004950166	587.1194000064861	0.005931054087668304	52131.56150000577	57365.92830000154
7.0	1.0	1.0	3.0	1.0	-0.0	-3.0	0.8	-0.024999717899050793	-0.2799108978900824	-0.03923155565728309	0.2507583490748395	-3.097119572120911	-1.8462797531700956	17.728799997712485	2067.3538999981247	0.016965950199389644	60247.56630000775	64404.71940000134
8.0	1.0	1.0	4.0	1.0	0.0	1.5	0.8	-0.007016212682918306	0.08765743866129805	0.004144106202792486	0.08009555788484385	1.3955097917265769	0.21989528114138002	15.485399999306537	1135.3759999910835	0.006253144273538426	67296.58520000521	70370.12110000069
9.0	1.0	1.0	5.0	1.0	0.0	3.0	0.8	-0.0093551948117358	0.5065197877380314	0.2426396581979101	0.04761603948258642	2.9540813317586476	-6.0109634459144115	482.12689999490976	2534.9301999958698	0.4499402770736104	73263.26710000285	77918.5104000062
10.0	1.0	2.0	1.0	1.0	0.0	1.5	0.8	0.0038303208803554143	0.3804365038853704	-0.026274937056534275	-0.032658453502295	3.8802199925966447	1.4291983974852915	917.644700006349	2633.184100006474	0.07578168984511575	80813.12629999593	85521.61500000511
