TN	BN	Hand	Digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime
1.0	1.0	2.0	3.0	1.0	-1.77	1.77	0.8	0.18102783831294778	0.15611221578663803	-0.22680393682764932	-1.9114323254945094	1.6521047672721605	-2.4079853824673845	14.55916090435494	1464.9851159165337	0.24355489069953942	0.11633033591351705	3795.2724664328343
2.0	1.0	2.0	4.0	1.0	3.54	3.54	0.8	-0.25932088928881597	0.28080826047157026	-0.03382470435645091	3.498933001973842	3.7025082015973694	-0.4131527440299099	20.337387148174457	722.6972884091083	0.3413824948968088	4531.085179697584	7576.208951163608
3.0	1.0	2.0	3.0	1.0	-3.54	3.54	0.8	0.3503083493381366	0.3273133037104491	-0.43534898908979947	-3.6756400610364484	3.4409867368776235	-4.584578348058291	14.26195330623159	2531.2948660393886	0.3987034591291923	8313.006643227709	13208.87239437343
4.0	1.0	2.0	3.0	1.0	-2.5	0.0	0.8	0.22915015835707697	-0.01324382354355269	-0.007089280537117659	-2.388165691896168	-0.14277598400929697	-0.06572292729076162	14.12702470406657	967.3811926304552	0.43860703270032164	13949.707004362608	17242.350004065884
5.0	1.0	2.0	4.0	1.0	-3.54	-3.54	0.8	0.2734341946795517	-0.24683247827237653	-0.007762294956893401	-3.688566223750511	-3.3622726341597393	-0.02576432562752942	19.911450369363592	1183.781509020264	0.27876655484631613	17974.515268994764	21612.238899478143
5.0	1.0	2.0	4.0	1.0	-3.54	-3.54	0.8	0.25641874653838775	-0.24733959689167562	0.015248310063324833	-3.4701567082730946	-3.340212542629913	0.1973714033722424	19.532920938218012	1150.4927993710226	0.09084255031283	22349.599280283655	26046.907017052945
1.0	2.0	2.0	3.0	1.0	-1.77	1.77	0.8	0.1519386511293218	0.1576227818866781	-0.2042205844205386	-1.5930441584271147	1.6624045622252819	-2.1595611816586575	67.36000519231311	1048.0849072873752	0.1287400755122158	0.060900207245140336	3577.9134276208424
2.0	2.0	2.0	4.0	1.0	3.54	3.54	0.8	-0.25297651166864815	0.2684863569983874	-0.010478400854505465	3.4250097813507168	3.6154365820491825	-0.12824147524224025	19.512134640535805	850.2905158693466	0.11619919956704437	4317.302113528967	7541.766054953769
3.0	2.0	2.0	3.0	1.0	-3.54	3.54	0.8	0.3418383894200556	0.3273456729840213	-0.40425110246433205	-3.574566249023941	3.4347615860817786	-4.234031312123293	12.504964096478943	2429.695451556654	0.20251269953996429	8279.304760317245	13610.302127021896
4.0	2.0	2.0	3.0	1.0	-2.5	0.0	0.8	0.2353003203358109	0.018931234387297824	-0.02002893110551629	-2.4539259212122557	0.21183124223391178	-0.22819107408255285	19.233889980569074	750.2508030984245	0.12180523816757216	14333.9512090879	17408.9335863182
5.0	2.0	2.0	4.0	1.0	-3.54	-3.54	0.8	0.253602619737599	-0.25447162683543556	0.007634058136873234	-3.4147873394664456	-3.4499286269934846	0.12857122026397988	14.508471511362586	2398.159355056123	0.09651485343711039	18146.529909841774	23363.39153618428
5.0	2.0	2.0	4.0	1.0	-3.54	-3.54	0.8	0.25887881132988133	-0.251029694078916	0.009770321202410726	-3.50288161226436	-3.382871792475669	0.11142282627603306	19.493171700560197	800.3512519735523	0.10098350645164587	24105.262543710523	27563.431577158553
